Tijdstip,T Westgevel,T Oostgevel,T vloer west,T vloer oost
2026-01-26T14:36:18,10.1,8.3,12.6,13.9
2026-01-26T14:46:18,7.5,7.1,11.7,14.0
2026-01-26T14:56:18,7.5,6.9,11.9,14.1
2026-01-26T15:06:18,7.0,6.9,12.2,14.3
2026-01-26T15:16:18,6.9,6.8,12.2,14.3
2026-01-26T15:26:18,6.9,6.6,12.5,14.3
2026-01-26T15:36:18,7.0,6.7,12.3,14.3
2026-01-26T15:46:18,6.9,6.7,12.2,14.4
2026-01-26T15:56:18,6.7,6.7,12.3,14.3
2026-01-26T16:06:18,6.7,6.6,12.4,14.3
2026-01-26T16:16:18,6.6,6.6,12.5,14.3
2026-01-26T16:26:18,6.6,6.6,12.6,14.4
2026-01-26T16:36:18,6.7,6.5,12.4,14.3
2026-01-26T16:46:18,6.6,6.4,12.9,14.3
2026-01-26T16:56:18,6.4,6.5,12.6,14.3
2026-01-26T17:06:18,6.6,6.4,12.5,14.2
2026-01-26T17:16:18,6.3,6.4,12.5,14.2
2026-01-26T17:26:18,6.3,6.3,12.5,14.3
2026-01-26T17:36:18,6.3,6.3,12.5,14.2
2026-01-26T17:46:18,6.3,6.3,12.5,14.1
2026-01-26T17:56:18,6.1,6.2,12.5,14.1
2026-01-26T18:06:19,6.1,6.2,12.4,14.0
2026-01-26T18:16:19,6.0,6.1,12.4,14.0
2026-01-26T18:26:19,6.2,6.0,12.2,14.0
2026-01-26T18:36:19,6.1,6.0,12.6,14.0
2026-01-26T18:46:19,6.1,6.1,12.5,14.0
2026-01-26T18:56:19,5.9,6.0,12.6,14.1
2026-01-26T19:06:19,6.0,6.0,12.5,14.0
2026-01-26T19:16:19,6.0,6.0,12.4,14.0
2026-01-26T19:26:19,6.0,5.9,12.5,13.9
2026-01-26T19:36:19,5.8,5.8,12.3,13.8
2026-01-26T19:46:19,5.9,5.9,12.5,13.8
2026-01-26T19:56:19,6.0,5.9,12.4,13.9
2026-01-26T20:06:19,6.0,5.7,12.5,14.0
2026-01-26T20:16:19,5.8,5.8,12.5,13.8
2026-01-26T20:26:19,5.7,5.6,12.3,13.8
2026-01-26T20:36:19,5.7,5.8,12.3,13.8
2026-01-26T20:46:19,5.7,5.8,12.2,13.7
2026-01-26T20:56:19,5.9,5.7,12.3,13.8
2026-01-26T21:06:19,5.8,5.7,12.3,13.7
2026-01-26T21:16:19,5.6,5.7,12.1,13.7
2026-01-26T21:26:19,5.9,5.6,12.3,13.8
2026-01-26T21:36:19,5.7,5.5,12.2,13.9
2026-01-26T21:46:19,5.6,5.7,12.2,13.7
2026-01-26T21:56:19,5.7,5.6,12.2,13.8
2026-01-26T22:06:19,5.7,5.7,12.4,13.8
2026-01-26T22:16:19,5.6,5.7,12.0,13.8
2026-01-26T22:26:19,5.7,5.6,12.3,13.8
2026-01-26T22:36:19,5.7,5.6,12.3,13.7
2026-01-26T22:46:19,5.7,5.6,12.2,13.7
2026-01-26T22:56:19,5.5,5.6,12.3,13.6
2026-01-26T23:06:19,5.6,5.6,12.3,13.8
2026-01-26T23:16:19,5.4,5.5,12.1,13.8
2026-01-26T23:26:19,5.7,5.6,12.3,13.7
2026-01-26T23:36:19,5.5,5.5,12.3,13.6
2026-01-26T23:46:19,5.6,5.4,12.2,13.6
2026-01-26T23:56:19,5.7,5.5,12.4,13.7
2026-01-27T00:06:19,5.5,5.5,12.4,13.8
2026-01-27T00:16:19,5.6,5.4,12.2,13.6
2026-01-27T00:26:19,5.4,5.4,12.4,13.6
2026-01-27T00:36:19,5.3,5.5,12.0,13.6
2026-01-27T00:46:19,5.2,5.4,12.1,13.6
2026-01-27T00:56:19,5.5,5.4,12.1,13.6
2026-01-27T01:06:19,5.4,5.3,12.1,13.6
2026-01-27T01:16:19,5.4,5.1,12.2,13.6
2026-01-27T01:26:19,5.6,5.3,12.0,13.5
2026-01-27T01:36:19,5.4,5.3,12.2,13.6
2026-01-27T01:46:19,5.4,5.3,12.1,13.5
2026-01-27T01:56:19,5.3,5.2,11.9,13.4
2026-01-27T02:06:19,5.2,5.1,12.1,13.4
2026-01-27T02:16:19,5.2,5.2,11.8,13.4
2026-01-27T02:26:19,4.9,5.1,11.8,13.3
2026-01-27T02:36:19,5.0,4.9,11.9,13.3
2026-01-27T02:46:19,5.0,4.8,11.8,13.2
2026-01-27T02:56:19,4.8,5.1,11.8,13.1
2026-01-27T03:06:19,4.7,4.9,11.8,13.1
2026-01-27T03:16:19,4.7,4.9,11.6,12.9
2026-01-27T03:26:19,4.6,4.7,11.7,12.9
2026-01-27T03:36:19,4.6,4.5,11.5,12.9
2026-01-27T03:46:19,4.4,4.6,11.5,12.7
2026-01-27T03:56:19,4.4,4.5,11.3,12.5
